teff_gspphot,lum_flame
4782.6587,
4866.4575,0.31730852
4893.561,0.2274056
8287.2295,10.919351
,
,
,
,
,
7987.265,33.105118
,
3902.0247,
,
4248.6304,
4282.157,
,
,
,
3722.242,
,
,
,
,
,
,
,
,
5085.592,13.495436
,
,
,
4001.2373,0.10402299
8096.4062,14.936554
,
,
4847.0474,0.32065892
4532.151,39.76604
5156.9995,
5169.562,2.72323
,
,
,
,
,
,
,
,
,
,
,
4812.111,1.1800853
4895.6895,0.29971507
5394.234,1.5736426
4421.509,40.506237
,
4856.932,2.8065107
5345.2817,
5252.678,0.1654279
,
,
5129.3574,
4845.1,
,
5284.511,0.30370402
7197.427,3.0646133
5074.4365,0.21958806
,
,
4775.36,0.10386255
5532.0615,0.30816132
,
4806.089,0.10094281
,
5328.57,0.23868309
5146.4336,
,
5073.219,
,
,
5129.242,
,
5151.6714,
,
,
,
,
,
,
,
,
,
,
,
,
3552.199,
,
,
4623.9673,0.23189026
,
4615.7905,0.31908882
,
,
,
4330.5044,0.064397626
,
,
4825.4966,12.782706
3975.495,
4512.58,0.36508888
3670.554,
4937.268,0.13811134
4167.146,0.032765724
3863.1047,
4032.8474,0.04213903
4404.461,0.31391713
4563.802,
3804.9187,
4027.8604,
,
,
,
,
3563.733,
,
,
,
,
,
,
,
,
3822.5117,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
8069.2944,8.031722
,
4683.1177,0.43046972
4946.7446,0.17063391
4809.5566,0.12295697
4540.2593,0.25184497
3673.622,
4761.3447,
,
,
,
,
,
,
,
,
,
,
4566.1978,0.4253711
,
,
3784.8462,0.08025208
,
3335.7307,
,
4996.7383,0.7020565
3554.5964,
,
,
,
,
,
,
,
,
5429.5415,0.6476111
5048.986,0.37177882
5650.277,1.2464015
3911.8394,
,
,
3611.9414,
,
,
,
,
,
,
3548.64,0.03991119
,
4721.976,
,
,
,
,
3988.1362,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3776.741,
,
,
6836.7446,1.2805707
4501.834,0.31429908
4426.228,
4816.6646,0.626827
3639.7646,
4759.6094,0.09345855
3976.1172,
,
4627.0396,0.08940458
,
4965.385,2.229494
,
,
,
,
,
4646.3394,
4080.8684,
4553.4937,0.3574494
3861.9978,
5061.7217,0.46642208
,
,
,
3789.5781,
,
,
3958.3713,0.039582364
,
,
,
,
,
,
,
,
3860.8362,
,
,
4867.7773,5.2699413
,
,
4714.4487,1.0484533
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4577.8164,7.0121846
4532.405,
,
,
,
,
,
,
,
4311.991,
4733.2993,0.553456
,
,
,
,
,
,
,
,
,
,
,
,
,
8485.064,18.950314
,
4234.61,
,
,
,
,
,
5016.751,17.57795
,
4641.381,0.09745856
4165.6387,
3875.663,
,
,
,
,
,
4795.7964,0.10713503
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5584.68,5.151254
5137.9395,0.8169523
,
,
,
,
,
,
4060.1511,
4090.2974,
3975.5781,
3688.147,
4822.2974,13.057263
3906.9417,
5029.681,
,
,
,
3619.0193,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5193.1255,2.4662757
,
4155.135,0.074763246
,
,
5344.959,0.99973375
,
,
,
,
,
4264.7896,
4447.2476,
4533.8306,0.6899612
,
3702.3413,
4847.6274,1.0582552
,
,
,
,
,
,
4317.411,
,
,
3842.4614,
,
,
5126.3794,0.16573402
4939.895,0.12449721
,
3976.8877,
,
,
5131.315,
,
,
,
,
4899.5044,65.9593
4391.7344,0.3414563
3795.314,
4086.5469,41.285007
,
5005.697,22.39901
,
,
,
3857.205,
5095.317,0.6147931
4354.8887,0.25830016
,
3623.7349,
,
7088.3813,
,
,
,
,
,
4373.586,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4877.3486,5.3043427
4873.1357,277.1653
4910.2266,4.2137294
,
,
,
5240.82,0.18738648
4704.278,37.395546
4729.5044,
3781.0146,
4361.6235,
3679.837,
6006.1895,1.6265222
,
,
,
,
4248.8145,
,
,
,
,
4292.002,
,
4497.138,0.2793004
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5675.1216,0.85776895
4745.098,0.12851818
4470.0063,0.22211492
4713.9053,0.23945637
,
4939.2227,0.10682425
,
4667.1333,0.41285074
4468.99,40.997135
,
,
4803.659,0.43931714
,
,
5483.809,40.692455
,
,
4646.844,0.35599008
,
,
,
,
,
,
5159.146,0.20660841
8126.4106,11.864598
3879.78,
,
,
,
4947.5566,72.67212
,
3944.4167,
4932.592,0.25723162
,
,
,
,
,
,
,
5968.2983,
,
,
,
,
,
,
,
,
,
,
,
,
,
3767.8506,
,
,
,
4561.58,0.087210104
4430.6304,0.07122876
,
4975.8193,
4846.5337,
4398.884,0.120283
,
,
,
5019.459,
,
,
,
5269.4414,0.19704215
,
,
,
,
,
,
,
,
,
5118.8877,
,
4507.1084,0.06388827
,
,
5121.9653,
,
,
5556.24,
,
,
,
4361.4946,
4931.644,
,
,
,
,
,
,
4915.508,
,
,
,
5242.008,
,
,
,
,
,
,
4722.7847,0.9911796
4669.358,0.4655055
,
,
,
3864.25,
,
5107.7603,0.6645894
,
4507.388,0.41672355
,
,
,
4623.216,237.1892
,
,
,
3661.22,
4615.0557,0.09652144
,
,
,
3677.355,
,
,
,
,
,
,
3613.028,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4418.9463,0.25155142
,
,
,
,
,
,
,
,
,
7936.049,368.1276
,
,
,
,
4851.9673,
,
,
,
,
4554.331,
,
,
,
,
,
,
